Tiploc_x,Name_x,Stanox_x,Latitude_x,Longitude_x,InBPlan_x,InTPS_x,CRS_x,Easting,Northing,index,CRS_y,InBPlan_y,InTPS_y,Latitude_y,Longitude_y,Name_y,Stanox_y,Tiploc_y
HITCHUY,Hitchin Up Yard,53212,51.9565506,-0.2662057,True,True,,519237.0901,230093.1726,108512,,1.0,1.0,51.9565506,-0.2662057,Hitchin Up Yard,53212,HITCHUY
HITCISU,Hitchin Plant Isu Civil Engineering,53211,51.9551384,-0.2668873,True,True,,519193.9982,229935.0014,108503,,1.0,1.0,51.9551384,-0.2668873,Hitchin Plant Isu Civil Engineering,53211,HITCISU
HITN,Hightown,36065,53.5256029,-3.057265,True,True,HTO,330007.7553,403735.6756,102299,HTO,1.0,1.0,53.5256029,-3.057265,Hightown,36065,HITN
HITW,Hall I' Th' Wood,29179,53.5975172,-2.4131276,True,True,HID,372755.8718,411295.6956,103635,HID,1.0,1.0,53.5975172,-2.4131276,Hall I' Th' Wood,29179,HITW
HKBG,Hackbridge,87667,51.3779224,-0.1537623,True,True,HCB,528589.9628,165936.0718,109065,HCB,1.0,1.0,51.3779224,-0.1537623,Hackbridge,87667,HKBG
HKLTNSB,Hickleton SB,24002,53.542011,-1.3097956,True,True,,445836.2081,405262.2842,106085,,1.0,1.0,53.542011,-1.3097956,Hickleton SB,24002,HKLTNSB
HLBDGJN,High Level Bridge Jn,13239,54.9662437,-1.6076479,True,True,,425217.9804,563583.4311,105191,,1.0,1.0,54.9662437,-1.6076479,High Level Bridge Jn,13239,HLBDGJN
HLBN402,Holybourne O T Sig. Fn402,87030,51.1676911,-0.9332467,True,True,,474681.2715,141479.2048,107248,,1.0,1.0,51.1676911,-0.9332467,Holybourne O T Sig. Fn402,87030,HLBN402
HLBNOIL,Holybourne Kelt Explratn,87025,51.1663156,-0.9375692,True,True,,474381.2695,141321.8672,107239,,1.0,1.0,51.1663156,-0.9375692,Holybourne Kelt Explratn,87025,HLBNOIL
HLBNSDG,Holybourne Oil Sidings (GBRf),87034,51.1659586,-0.938421,True,True,,474322.2863,141281.3068,107236,,1.0,1.0,51.1659586,-0.938421,Holybourne Oil Sidings (GBRf),87034,HLBNSDG
