TIPLOC_x,LocationName_x,StartDate,Easting,Northing,TimingPointType,ZoneResponsible,STANOX,OffNetwork,Quality,index,TIPLOC_y,LocationName_y
WADDON,Waddon,1995-01-01,531155.0,164830.0,O,3,87662,False,4,104911,WADDON,Waddon
WADHRST,Wadhurst,1995-01-01,562150.0,133004.0,T,3,89392,False,4,105542,WADHRST,Wadhurst
WADHTLS,Wadhurst Tunnel South,2013-08-12,562814.0,131222.0,O,3,89381,False,2,105548,WADHTLS,Wadhurst Tunnel South
WAESIDE,Waterside,1995-01-01,237600.0,613000.0,O,9,8633,False,2,100290,WAESIDE,Waterside
WAINFLT,Wainfleet,1995-01-01,549700.0,358770.0,M,8,44225,False,4,105411,WAINFLT,Wainfleet
WALAGRD,Wallasey Grove Road,1995-01-01,329020.0,392890.0,O,6,38018,False,4,101363,WALAGRD,Wallasey Grove Road
WALASYV,Wallasey Village,1995-01-01,329050.0,392320.0,O,6,38016,False,4,101364,WALASYV,Wallasey Village
WALERTN,West Allerton,1995-01-01,339750.0,386190.0,O,6,36187,False,4,101617,WALERTN,West Allerton
WALHAMX,Waltham Cross,1995-01-01,536521.0,200321.0,O,3,51912,False,4,105121,WALHAMX,Waltham Cross
WALKDEN,Walkden,1995-01-01,373820.0,402640.0,O,6,35142,False,4,102173,WALKDEN,Walkden
WALLYFD,Wallyford,1995-01-01,336700.0,672380.0,O,9,4809,False,4,101576,WALLYFD,Wallyford
WALMER,Walmer,1995-01-01,636410.0,150340.0,O,3,89467,False,4,105947,WALMER,Walmer
WALNGTN,Wallington,1995-01-01,528843.0,163991.0,O,3,87663,False,4,104822,WALNGTN,Wallington
WALRSAL,Wallers Ash Loop,1995-01-01,449830.0,136253.0,O,3,86080,False,2,103503,WALRSAL,Wallers Ash Loop
WALSALL,Walsall,1995-01-01,401130.0,298510.0,T,5,65553,False,4,102638,WALSALL,Walsall
WALSBLI,Walsall Mid Yd BLI Cement,2004-12-12,452436.0,785858.0,O,5,65557,False,2,103565,WALSBLI,Walsall Mid Yd BLI Cement
WALSESD,Walsall Tamper Sidings,1995-01-01,401000.0,298500.0,O,5,65550,False,2,102636,WALSESD,Walsall Tamper Sidings
WALSFT,Walsall Freight Terminal,1998-10-09,400700.0,298200.0,O,5,65555,False,2,102628,WALSFT,Walsall Freight Terminal
WALSPJ,Pleck Jn,1995-01-01,400300.0,296900.0,M,5,65561,False,2,102622,WALSPJ,Pleck Jn
WALSRJN,Ryecroft Jn,1995-01-01,401500.0,299400.0,M,5,65533,False,2,102651,WALSRJN,Ryecroft Jn
WALT207,Walton Jn Signal 207,1995-01-01,335900.0,395700.0,O,6,36055,False,2,101561,WALT207,Walton Jn Signal 207
WALT208,Walton Jn Signal 208,1995-01-01,335900.0,395600.0,O,6,36055,False,2,101560,WALT208,Walton Jn Signal 208
WALTONJ,Walton Jn,1995-01-01,335900.0,395800.0,T,6,36055,False,2,101562,WALTONJ,Walton Jn
WALTONM,Walton (Merseyside),1995-01-01,335970.0,395930.0,O,6,36029,False,4,101563,WALTONM,Walton (Merseyside)
WANB199,Wanborough Signal GD942,2000-03-14,493100.0,150326.0,O,3,87016,False,3,104137,WANB*,Wanborough*
WANBRO,Wanborough,1995-01-01,493100.0,150326.0,O,3,87016,False,4,104137,WANB*,Wanborough*
WANDCMN,Wandsworth Common,1995-01-01,527730.0,173510.0,O,3,87220,False,4,104771,WANDCMN,Wandsworth Common
WANTRD,Wantage Road,1995-01-01,441100.0,191400.0,O,4,74327,False,2,103299,WANTRD,Wantage Road
WAPPING,Wapping,1995-01-01,535025.0,180175.0,T,3,52090,False,4,105078,WAPPING,Wapping
WARCOP,Warcop,1995-01-01,375900.0,515000.0,O,6,9428,False,2,102196,WARCOP,Warcop
WARE,Ware,1995-01-01,535998.0,213984.0,O,3,51707,False,4,105104,WARE,Ware
WARGRAV,Wargrave,1995-01-01,478085.0,178289.0,O,4,74028,False,4,103985,WARGRAV,Wargrave
WARH22,Wareham Signal WR22,2004-05-23,645848.0,543748.0,O,3,86966,False,2,105993,WARH22,Wareham Signal WR22
WARHAM,Wareham,1995-01-01,391956.0,88144.0,T,3,86964,False,4,102492,WARHAM,Wareham
WARHUS,Wareham Up Sidings,2004-12-12,432463.0,652346.0,O,3,86962,False,2,103123,WARHUS,Wareham Up Sidings
WARNHAM,Warnham,1995-01-01,517083.0,133948.0,O,3,87939,False,4,104469,WARNHAM,Warnham
WARSOPJ,Warsop Jn,1995-01-01,453900.0,368000.0,O,7,28115,False,2,103608,WARSOPJ,Warsop Jn
WARSPUS,Warsop Up Sdgs,1995-01-01,453900.0,368200.0,O,7,28115,False,2,103609,WARSPUS,Warsop Up Sdgs
WARWICK,Warwick,1995-01-01,428620.0,265460.0,O,5,66437,False,4,103045,WARWICK,Warwick
