FromCRS,ToCRS,TravelTime,TSys
CPT,BKG,47.75277778,PuT-Aux
CYP,BKG,52.48901515,PuT-Aux
DMK,BKG,43.81309524,PuT-Aux
EAL,BKG,62.44402516,PuT-Aux
EDR,BKG,48.47777778,PuT-Aux
EPH,BKG,39.95031447,PuT-Aux
ZFD,BKG,37.29854167,PuT-Aux
FPK,BKG,34.42763158,PuT-Aux
FOH,BKG,44.13374741,PuT-Aux
GFD,BKG,65.05014368,PuT-Aux
GNW,BKG,41.21416667,PuT-Aux
HKC,BKG,39.86816367,PuT-Aux
HRY,BKG,29.27072072,PuT-Aux
HRW,BKG,74.58948413,PuT-Aux
HOH,BKG,65.94892473,PuT-Aux
HTE,BKG,91.61645022,PuT-Aux
HDL,BKG,89.61645022,PuT-Aux
HHY,BKG,38.91666667,PuT-Aux
HPA,BKG,43.44616977,PuT-Aux
IMW,BKG,63.32876344,PuT-Aux
KPA,BKG,63.25166667,PuT-Aux
KTN,BKG,50.75291667,PuT-Aux
KBN,BKG,66.47919708,PuT-Aux
LEW,BKG,49.35460526,PuT-Aux
LHS,BKG,37.26389987,PuT-Aux
BFR,BKG,37.44423077,PuT-Aux
LBG,BKG,32.8178125,PuT-Aux
CST,BKG,33.51955128,PuT-Aux
CHX,BKG,43.28994911,PuT-Aux
EUS,BKG,46.47693523,PuT-Aux
FST,BKG,19.38757062,PuT-Aux
LOF,BKG,47.73546667,PuT-Aux
KGX,BKG,49.98333333,PuT-Aux
LST,BKG,31.07137064,PuT-Aux
MYB,BKG,48.97041801,PuT-Aux
PAD,BKG,45.59594128,PuT-Aux
STP,BKG,47.28715596,PuT-Aux
VIC,BKG,43.65979284,PuT-Aux
WAT,BKG,37.78100775,PuT-Aux
WAE,BKG,54.44603175,PuT-Aux
MOG,BKG,31.40238095,PuT-Aux
NXG,BKG,37.01438923,PuT-Aux
NWD,BKG,55.42564103,PuT-Aux
OLD,BKG,39.25516224,PuT-Aux
PMR,BKG,40.43809524,PuT-Aux
PNE,BKG,73.15142857,PuT-Aux
PUT,BKG,67.35,PuT-Aux
QRP,BKG,38.50620155,PuT-Aux
REC,BKG,48.40361111,PuT-Aux
RMD,BKG,74.7627907,PuT-Aux
RIC,BKG,85.21410256,PuT-Aux
RMF,BKG,35.15887097,PuT-Aux
SVS,BKG,29.79054054,PuT-Aux
SPB,BKG,49.43089623,PuT-Aux
SLV,BKG,46.47777778,PuT-Aux
SOH,BKG,65.82188295,PuT-Aux
SRU,BKG,71.88475177,PuT-Aux
SBU,BKG,51.28333333,PuT-Aux
SMH,BKG,45.19251208,PuT-Aux
SKW,BKG,46.69033816,PuT-Aux
SRA,BKG,19.80654762,PuT-Aux
SFA,BKG,22.47230769,PuT-Aux
SYD,BKG,46.76283644,PuT-Aux
TEO,BKG,56.41666667,PuT-Aux
TOM,BKG,28.6027027,PuT-Aux
TUR,BKG,54.03333333,PuT-Aux
UPM,BKG,21.50333333,PuT-Aux
VXH,BKG,47.00332384,PuT-Aux
WWR,BKG,49.6202381,PuT-Aux
WNP,BKG,13.07777778,PuT-Aux
WFJ,BKG,79.88003663,PuT-Aux
WMB,BKG,69.99725877,PuT-Aux
WBP,BKG,56.17355372,PuT-Aux
WCY,BKG,59.15617284,PuT-Aux
WEH,BKG,14.00161943,PuT-Aux
WHD,BKG,48.70989583,PuT-Aux
WHL,BKG,45.91111111,PuT-Aux
WIJ,BKG,60.85290404,PuT-Aux
WIM,BKG,72.66578947,PuT-Aux
WGR,BKG,9.95,PuT-Aux
WWA,BKG,32.93105023,PuT-Aux
AMR,BAK,91.21284153,PuT-Aux
ANY,BAK,50.67747748,PuT-Aux
BAL,BAK,32.28508772,PuT-Aux
BKG,BAK,58.83240741,PuT-Aux
BET,BAK,54.76295117,PuT-Aux
BRX,BAK,26.14681373,PuT-Aux
BCY,BAK,52.86944444,PuT-Aux
BCV,BAK,39.90208333,PuT-Aux
BSH,BAK,68.25056497,PuT-Aux
CBH,BAK,53.33185654,PuT-Aux
CPK,BAK,69.2534188,PuT-Aux
CFO,BAK,86.22142857,PuT-Aux
CHN,BAK,60.7245614,PuT-Aux
CLW,BAK,82.53235294,PuT-Aux
CTK,BAK,47.33168317,PuT-Aux
CLJ,BAK,13.45833333,PuT-Aux
CPT,BAK,58.43552632,PuT-Aux
CYP,BAK,32.98712121,PuT-Aux
EAL,BAK,51.29018692,PuT-Aux
EDR,BAK,46.06985816,PuT-Aux
EPH,BAK,35.368,PuT-Aux
ZFD,BAK,41.67079365,PuT-Aux
FPK,BAK,31.94444444,PuT-Aux
FOH,BAK,47.26944444,PuT-Aux
GFD,BAK,53.59200913,PuT-Aux
