TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality,Shape
SEVNSIS_1,SEVNSIS,1,1995-01-01,0,False,False,109563,7,109563007,533473.5702770553,188926.2543617131,2,"LINESTRING (533467.0299 188854.2316, 533467.3754 188857.4344, 533469.6053 188875.4316, 533470.1419 188880.331, 533471.6705 188894.682, 533472.6518 188906.1253, 533473.2812 188916.7135, 533473.7634 188932.6283, 533473.702 188944.7007, 533472.4092 188998.5378)"
SEVNSIS_2,SEVNSIS,2,1995-01-01,0,False,False,109563,70,109563070,533463.5609726266,188926.73857657675,2,"LINESTRING (533457.0842 188855.4386, 533459.6545 188876.5718, 533460.1792 188881.3929, 533461.697 188895.6324, 533462.6636 188906.8415, 533463.2723 188917.1622, 533463.7423 188932.7539, 533463.681 188944.5592, 533462.391 188998.2963)"
SEVTNLJ_1,SEVTNLJ,1,1999-01-01,0,False,False,102852,7,102852007,346249.6166385766,187535.54300848395,2,"POLYGON ((346163.5916 187534.2386, 346198.1592 187535.9172, 346272.7884 187537.9042, 346314.4293 187538.7966, 346335.5955 187539.1725, 346335.2913 187535.3272, 346269.9755 187534.03, 346227.944 187533.5537, 346184.8413 187532.6887, 346163.6925 187532.6469, 346163.5916 187534.2386))"
SEVTNLJ_2,SEVTNLJ,2,1999-01-01,0,False,False,102852,70,102852070,346242.9601478839,187549.24304075236,2,"POLYGON ((346327.7223 187548.1766, 346327.7838 187552.6585, 346276.5917 187551.5115, 346276.7809 187553.6673, 346158.0279 187549.9032, 346158.1964 187543.6058, 346327.7223 187548.1766))"
SEVTNLJ_3,SEVTNLJ,3,1999-01-01,0,False,False,102852,90,102852090,346264.135340197,187556.89352154545,2,"POLYGON ((346276.7809 187553.6673, 346276.9719 187555.99, 346349.6351 187556.8757, 346370.4172 187556.9888, 346370.3037 187561.9619, 346323.245 187561.1378, 346280.3504 187560.926, 346251.0456 187560.1919, 346200.5264 187558.4602, 346171.4194 187557.4464, 346158.0203 187556.9996, 346158.0279 187549.9032, 346276.7809 187553.6673))"
SEVTNLJ_4,SEVTNLJ,4,1999-01-01,0,False,False,102852,104,102852104,346245.8320985747,187567.67915063485,2,"POLYGON ((346158.2335 187568.554, 346158.3315 187563.4476, 346258.1479 187566.0449, 346333.4341 187567.2917, 346332.9503 187571.3345, 346283.6847 187570.1781, 346251.8959 187569.7819, 346198.9146 187568.4879, 346158.2335 187568.554))"
SFRTHAL_1,SFRTHAL,1,1995-01-01,0,False,True,102471,7,102471007,333388.1814102748,397008.38206707325,2,"POLYGON ((333336.9741 397085.368, 333333.5977 397082.7785, 333363.6447 397041.4959, 333390.4773 396999.1907, 333432.5556 396927.1841, 333437.4514 396930.164, 333395.8991 397002.2744, 333367.2885 397044.6937, 333336.9741 397085.368))"
SFRTHAL_2,SFRTHAL,2,1995-01-01,0,False,True,102471,70,102471070,333393.43743490276,397011.9004533166,2,"POLYGON ((333442.2601 396933.0894, 333401.8718 397005.3503, 333372.9115 397048.3976, 333340.3436 397087.9464, 333338.3971 397086.4606, 333336.9741 397085.368, 333367.2885 397044.6937, 333395.8991 397002.2744, 333437.4514 396930.164, 333442.2601 396933.0894))"
SHADWEL_1,SHADWEL,1,2011-05-22,0,False,False,109650,7,109650007,535032.0678932666,180995.73023575923,2,"POLYGON ((534981.4729 180990.4949, 534981.6331 180988.9079, 534981.7392 180987.7868, 535082.7636 181000.8313, 535082.3372 181003.8134, 534981.4729 180990.4949))"
SHADWEL_2,SHADWEL,2,2011-05-22,0,False,False,109650,70,109650070,535032.4123292814,180992.78949310738,2,"POLYGON ((534981.7392 180987.7868, 534981.8631 180986.5214, 534982.0608 180984.5681, 535083.1657 180997.9821, 535082.7636 181000.8313, 534981.7392 180987.7868))"
