TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality
DLMALLY_1,DLMALLY,1,2019-05-19,0,False,False,10125,7,10125007,216034.58729633474,727190.4378281056,2
DLMALLY_2,DLMALLY,2,2019-05-19,0,False,False,10125,70,10125070,216036.31937388363,727179.7409985944,2
DLMY_1,DLMY,1,2005-12-06,0,False,False,11161,7,11161007,313914.4317956301,677892.3753842011,2
DLMY_2,DLMY,2,2005-12-06,0,False,False,11161,70,11161070,313902.73188328114,677889.7195085867,2
DLTN_1,DLTN,1,1995-01-01,0,False,True,13064,7,13064007,429453.92129922967,514028.0530085337,2
DLTN_2,DLTN,2,1995-01-01,0,False,True,13064,70,13064070,429432.59555010777,513900.1329622049,2
DLTN_3,DLTN,3,1995-01-01,0,False,True,13064,90,13064090,429412.337075053,513893.0112498379,2
DLTN_4A,DLTN,4A,1995-01-01,0,False,True,13064,105,13064105,429426.4658811289,514022.23449020606,1
DLTN_4B,DLTN,4B,1995-01-01,0,False,True,13064,106,13064106,429426.4658811289,514022.23449020606,1
DLTN_4BX,DLTN,4BX,2015-05-17,0,False,False,13064,107,13064107,429426.4658811289,514022.23449020606,1
DMBRTNC_1,DMBRTNC,1,1995-01-01,0,False,True,10307,7,10307007,239756.5587910631,675600.0149708623,2
DMBRTNC_2,DMBRTNC,2,1995-01-01,0,False,True,10307,70,10307070,239757.25865111782,675584.8804141656,2
DMBRTNC_3,DMBRTNC,3,1995-01-01,0,False,True,10307,90,10307090,239757.01009273983,675579.8009950065,2
DNFRMLE_1,DNFRMLE,1,2005-12-06,0,False,False,11102,7,11102007,309717.91132912494,687107.6813739244,2
DNFRMLE_2,DNFRMLE,2,2005-12-06,0,False,False,11102,70,11102070,309682.8327136512,687100.0233769949,2
DNFRMQM_1,DNFRMQM,1,2005-12-06,0,False,False,11128,7,11128007,311654.23601488676,688414.311985362,2
DNFRMQM_2,DNFRMQM,2,2005-12-06,0,False,False,11128,70,11128070,311657.7177214972,688428.2583323866,2
DNLP_1,DNLP,1,2011-11-12,0,False,True,10316,7,10316007,240999.15712795078,649385.1735341926,2
DNLP_2,DNLP,2,2011-11-12,0,False,True,10316,70,10316070,240987.6814916072,649377.1827625076,2
DNROBIN_1,DNROBIN,1,2019-05-19,0,False,False,10861,7,10861007,284970.47452031105,901282.0017212149,2
DNTG_1,DNTG,1,1995-01-01,110,False,True,12657,7,12657007,402044.99529205146,394756.7203587839,2
DNTG_2,DNTG,2,1995-01-01,105,False,True,12657,70,12657070,402075.89955516777,394725.16164370015,2
DOCKYDP_1,DOCKYDP,1,1999-01-01,0,False,False,10350,7,10350007,245391.11404541254,55853.12966102567,2
