TIPLOC_x,LocationName_x,StartDate,Easting,Northing,TimingPointType,ZoneResponsible,STANOX,OffNetwork,Quality,index,TIPLOC_y,LocationName_y
HOUN443,Hounslow Signal F443,2005-12-06,386729.0,734633.0,M,3,87127,False,2,12378,HOUN44*,Hounslow Signal F44*
HOUN448,Hounslow Signal F448,2004-05-23,386729.0,734633.0,O,3,87127,False,1,12378,HOUN44*,Hounslow Signal F44*
HOUNSLW,Hounslow,1995-01-01,513870.0,174935.0,T,3,87141,False,4,14399,HOUNSLW,Hounslow
HOVE,Hove,1995-01-01,528912.0,105559.0,T,3,88103,False,4,14828,HOVE,Hove
HOVE672,Hove Sig. T672,1995-01-01,529500.0,105400.0,O,3,0,False,2,14840,HOVE672,Hove Sig. T672
HOVE673,Hove Sig. T673,1995-01-01,531000.0,104920.0,O,3,87980,False,3,14906,*,*
HOVE674,Hove Sig. T674,1995-01-01,531000.0,104920.0,O,3,87980,False,3,14906,*,*
HOVE675,Hove Sig. T675,1995-01-01,529400.0,105400.0,O,3,88104,False,2,14838,HOVE675,Hove Sig. T675
HOVEYD,Hove Yard,1995-01-01,528900.0,105605.0,O,3,88101,False,2,14823,HOVEYD,Hove Yard
HOWDEN,Howden,1995-01-01,475215.0,430420.0,O,7,19221,False,4,13959,HOWDEN,Howden
HOWEACS,Howe & Co Sdgs,1995-01-01,347367.0,549149.0,O,6,9413,False,2,11754,HOWEACS,Howe & Co Sdgs
HOWOOD,Howwood,2000-02-28,239480.0,660450.0,O,9,7102,False,4,10303,HOWOOD,Howwood
HOWWOOD,How Wood,1995-01-01,514449.0,203409.0,O,5,71034,False,4,14405,HOWWOOD,How Wood
HOXTON,Hoxton,1995-01-01,533575.0,183155.0,O,3,52080,False,4,15010,HOXTON,Hoxton
HOYLAKE,Hoylake,1995-01-01,321700.0,388800.0,O,6,38004,False,4,11285,HOYL*,Hoylake*
HOYLCHS,Hoylake C.H.S.,1995-01-01,321700.0,388800.0,O,6,38004,False,3,11285,HOYL*,Hoylake*
HRBRNSJ,Herbrandston Jn,1995-01-01,191300.0,208400.0,O,5,80110,False,2,10058,HRBRNSJ,Herbrandston Jn
HRDNDLQ,Hardendale Quarry,1995-01-01,353424.0,510005.0,O,6,9322,False,2,11883,HRDNDLQ,Hardendale Quarry
HRGY,Harringay,1995-01-01,531400.0,188200.0,T,8,54202,False,4,14920,HRGY,Harringay
HRGY81,Harringay Sig K81,2003-05-18,531400.0,187800.0,O,8,54210,False,1,14918,HRGY*,Harringay *
HRGYGL,Harringay Green Lanes,1995-01-01,531885.0,188193.0,O,3,51561,False,4,14942,HRGY*,Harringay Green Lanes*
HRGYPJN,Harringay Park Jn,1995-01-01,531400.0,187900.0,O,3,51562,False,2,14919,HRGYPJN,Harringay Park Jn
HRGYSTD,Harringay Green Lanes,2012-09-12,531885.0,188193.0,O,8,51561,False,3,14942,HRGY*,Harringay Green Lanes*
HRGYURV,Harringay Up Rev Sdgs,1995-01-01,531400.0,187800.0,O,8,54210,False,2,14918,HRGY*,Harringay *
HRLC,Harlech,1995-01-01,258100.0,331400.0,M,5,64422,False,4,10497,HRLC,Harlech
HRLDWOD,Harold Wood,1995-01-01,554785.0,190575.0,O,3,50333,False,4,15475,HRLDWOD,Harold Wood
HRLG,Harlington,1995-01-01,503456.0,230355.0,O,8,62203,False,4,14245,HRLG,Harlington
